,p.HS1,p.S1H,p.S1S2,p.HD,rr.S1,rr.S2,c.H,c.S1,c.S2,c.Trt,u.H,u.S1,u.S2,u.Trt,Cost_NoTrt,Cost_Trt,QALY_NoTrt,QALY_Trt,ICER
1,0.132644039,0.531741313,0.089134671,0.004431341,2.969108402,9.903415678,2170.835016,3873.121735,15935.29568,14028.39514,0.985967218,0.785266949,0.498572307,0.96253182,74649.94115,142611.5649,16.54128345,17.01122759,144616.3861
2,0.15534214,0.518828494,0.081975014,0.008148574,3.007214365,9.923471378,2163.89894,3949.849764,14607.52946,11758.61136,0.981667204,0.77863948,0.512771213,0.945199742,63144.36839,117091.8054,15.15116271,15.62646851,113500.4801
3,0.126950454,0.430010175,0.100734851,0.003832597,3.043876861,9.934149468,1774.123042,3976.4456,16038.13062,11006.86323,0.985691528,0.760825511,0.513899203,0.963682629,78149.12284,139235.5768,16.3002735,16.86905352,107399.0872
4,0.159728969,0.48806497,0.101851727,0.004571541,3.029781031,10.06008011,1969.947357,3675.899215,13822.83704,13457.13115,0.991735866,0.740387724,0.456482211,0.958347136,74282.37058,152965.0596,15.57035251,16.2248958,120210.0616
5,0.127363574,0.514016407,0.118731395,0.004233755,3.004224091,10.10386699,2109.95716,3597.429887,16164.36408,13002.46356,0.988524338,0.742628734,0.45536812,0.964193405,80552.8788,147614.918,16.03485704,16.57329475,124549.2991
6,0.164658409,0.499684263,0.095313886,0.004715642,3.010634617,9.733054213,1954.717379,4333.354878,14829.75102,11696.45801,0.987808482,0.760070401,0.471123699,0.956070263,77614.71316,145531.3399,15.66981101,16.27349799,112503.0504
7,0.172972895,0.508777365,0.103120982,0.006943154,2.99063735,10.01358238,2058.258444,3736.039381,15156.4735,11892.67164,0.995519348,0.776176032,0.51820063,0.971594392,71819.97073,136062.6777,15.02506813,15.60264435,111228.1017
8,0.141429725,0.437467249,0.123636957,0.004905134,2.959232351,10.17178566,1892.297068,4100.107152,16326.08002,10898.23266,0.993248031,0.722161322,0.438912784,0.936017634,83995.54584,147301.9027,15.16740257,15.75172122,108342.1815
9,0.204220761,0.446682584,0.099816564,0.005641913,3.037718075,10.22205838,2453.796823,4380.746468,14505.28472,12590.17086,0.985338778,0.747511757,0.483254616,0.986041211,86125.1914,169701.8123,14.48653031,15.33271763,98768.46299
10,0.16158822,0.449439931,0.111360555,0.004581246,2.991432392,10.18310482,1881.626076,4253.300478,14282.91547,10576.76606,0.994408379,0.735545518,0.540898196,0.937141025,80046.15231,145768.1174,15.51589466,16.13058504,106918.8114
11,0.132785933,0.494922515,0.11571573,0.002921207,3.026472523,10.13518701,1822.616241,3847.840927,15454.71164,11971.59129,0.996907391,0.767481122,0.432051301,0.953652429,82764.06456,151974.313,16.4401171,16.92874603,141641.7341
12,0.187323403,0.562293671,0.094707306,0.00406046,2.95130725,9.962310522,1755.947946,3309.426881,15287.76502,13311.48846,0.991734631,0.753275914,0.526493821,0.928580983,76613.00069,158085.6756,15.98410095,16.54416365,145470.6321
13,0.148717996,0.495885029,0.104853191,0.00516236,2.958634254,9.876358649,2126.419973,4082.530467,15067.85841,15354.40024,0.987761884,0.764957299,0.495073631,0.917601644,77445.60735,160840.4148,15.68484854,16.1120469,195213.316
14,0.149537066,0.559992084,0.096204334,0.005212214,3.028856945,10.03516729,1752.801558,3635.310181,13899.09809,12929.65898,0.997413977,0.74277919,0.46868121,0.947676619,64439.56616,129113.1945,15.97863203,16.53243815,116780.2703
15,0.180333879,0.546314746,0.071732254,0.005546284,3.027362098,10.49285889,1799.303604,3852.534181,13273.13306,12127.59499,0.981969704,0.747603435,0.521525263,0.918988373,61847.32671,126376.7992,15.7409071,16.30787886,113814.2616
16,0.175875635,0.459122156,0.109216657,0.005331704,3.022360429,9.994671928,1773.432147,4682.81475,13545.6255,13317.62706,0.99346496,0.739850739,0.510453651,0.947259426,76323.53416,159277.2207,15.03354901,15.68695597,126955.6219
17,0.168107054,0.538107338,0.106552023,0.006256667,3.016300125,10.10631099,1882.924813,3709.696872,15796.34316,10110.11576,0.988997436,0.740272984,0.447590768,0.941401907,72639.48653,126726.9753,14.98105318,15.55103305,94893.68242
18,0.179413217,0.445289485,0.08733954,0.005159864,2.97068716,9.687717602,1958.635994,3635.798598,17713.21489,11252.50973,0.995246861,0.72971804,0.441679461,0.984489755,83964.4796,154207.5574,15.16750933,16.05534178,79117.49283
19,0.1744964,0.488007721,0.103731712,0.003962034,3.011531981,9.591820696,2205.633735,3949.23006,14998.08639,12122.60939,0.992147062,0.741900601,0.494160044,0.909068976,87555.21217,165753.1905,15.66969885,16.20206294,146888.1546
20,0.152147834,0.543641782,0.109233456,0.005702059,2.993228209,9.945817155,2085.789015,4609.496477,15091.19832,13005.17597,0.985013514,0.741554343,0.519374266,0.992757529,76039.38577,143210.5632,15.516679,16.18372812,100698.9978
21,0.09448425,0.54154114,0.108281379,0.003941225,2.934128325,10.08643444,2191.490126,3656.430762,15397.50366,11502.96981,0.993438101,0.739146674,0.494170001,0.993651776,70754.39297,116763.0888,17.12003709,17.62230038,91602.74429
22,0.168963788,0.455035345,0.116677982,0.00538321,3.027899311,9.954646519,1849.536158,3445.412289,13427.36272,12148.12336,0.993602413,0.770825107,0.505318072,0.960316955,73430.71005,148320.303,15.07227242,15.64389587,131012.1085
23,0.148399915,0.587007361,0.106025282,0.004477907,3.046653267,9.765154687,2048.480209,3624.677353,14413.04773,12029.02062,0.996867758,0.754792287,0.489314068,0.934996444,73280.71921,135383.2525,16.24343724,16.70957561,133227.6792
24,0.145589248,0.462530747,0.088580965,0.005723209,3.028584892,10.08082428,2162.876115,3515.748569,15372.04403,13907.93402,0.993991895,0.756987196,0.528626347,0.987784932,71811.1928,144224.9551,15.80828247,16.49273693,105797.7799
25,0.109377125,0.488644478,0.118032859,0.007150587,3.039251714,9.742370261,2018.854087,4069.411115,15110.99897,12538.27114,0.999389285,0.750127907,0.510489471,0.911349244,65489.02216,117437.4802,15.76359492,16.10895877,150416.6036
26,0.136686891,0.433965746,0.117811272,0.00417399,2.965639773,10.1294533,2547.005742,4130.73903,16031.8057,12559.32002,0.985980346,0.761084944,0.512285881,0.972017166,92590.5405,166428.015,15.8023615,16.38591538,126530.6886
27,0.162463951,0.417955163,0.093322164,0.006281609,3.033935543,10.1244897,1896.670138,3636.244716,15342.78768,13711.17044,0.997552755,0.742387682,0.527923861,0.982318256,71946.18819,150811.8421,15.11703762,15.89486634,101392.0569
28,0.197177402,0.494834248,0.097707239,0.004449607,3.019354079,10.0200611,1818.139866,3976.389354,13768.0815,13211.82646,0.989561254,0.76911564,0.546997741,0.939238844,77875.34092,165187.5369,15.53438327,16.11836499,149511.8654
29,0.147079562,0.479932309,0.096236479,0.004878765,3.018149478,9.926843944,1975.991131,4179.007413,16969.50733,11818.47979,0.987430008,0.718629282,0.487128435,0.969063979,80096.20831,144538.4602,15.70540085,16.43374781,88477.40917
30,0.161520805,0.448054343,0.111027993,0.005320211,2.975081549,10.36539499,1846.866456,3746.32728,16912.68609,13513.9314,0.990469902,0.730262345,0.548156363,0.956199582,82438.72533,163061.3707,15.22005085,15.9016234,118289.1614
31,0.148465895,0.470941394,0.110449342,0.005016455,2.935994459,9.815495951,1722.117538,3901.731934,16257.41899,10913.5845,0.994118681,0.765162825,0.521922257,0.982578694,78168.24791,140037.4567,15.72435214,16.33878849,100692.6246
32,0.138415091,0.397616263,0.103209412,0.003264905,2.989978827,10.35248736,1691.112521,3907.288558,14084.07217,10596.18286,0.992479448,0.739560827,0.504665629,0.960123889,78066.2026,144714.8346,16.12981161,16.80953864,98052.05467
33,0.138982902,0.499889503,0.111870166,0.00279883,3.006314033,9.626058474,1983.541901,4035.161325,14818.89202,10180.33557,0.998633443,0.74233487,0.481842548,0.939398398,84753.67438,145436.6273,16.5786413,17.11577482,112975.5455
34,0.148309525,0.53158706,0.114623937,0.004009904,3.011164941,9.951823494,2001.52381,4404.806943,15783.32044,15264.38173,0.996643852,0.746964578,0.514160036,0.980978536,84130.50796,170463.6739,16.15055262,16.77740985,137723.8097
35,0.186331104,0.447809988,0.096004719,0.00750908,3.020466796,9.985263384,2066.029592,4020.396595,15010.30144,8872.892496,0.981870078,0.759811171,0.479274196,0.904108611,72597.87146,123825.4108,14.25635326,14.73284284,107510.3026
36,0.145344773,0.48594496,0.10431845,0.005549335,2.983175264,10.14484561,1858.732747,3891.445392,15307.97071,10684.07475,0.985079749,0.762830119,0.511813894,0.959830646,72060.23464,128373.1819,15.58041634,16.12605193,103206.1469
37,0.142869525,0.462021254,0.100182092,0.004382542,2.992731071,9.891062175,1992.381923,3917.12901,14960.67241,12275.52008,0.991822244,0.745301255,0.488101759,0.946280738,77306.56994,146499.7756,15.94669291,16.52961102,118701.4177
38,0.171555567,0.60094394,0.112169938,0.003797553,3.027165925,10.07254574,2149.344902,4268.955607,15351.70319,12468.68979,0.984253401,0.76585734,0.428505623,0.956992909,86126.58739,159416.1074,15.75691132,16.29084931,137262.2332
39,0.166888408,0.534123323,0.103613436,0.005726401,2.998328943,10.15433416,1538.234414,4255.329912,15510.8237,12255.43926,0.98196039,0.744514268,0.451687571,0.973700273,70584.00315,137359.8159,15.12620564,15.78689167,101070.4177
40,0.130948772,0.401301295,0.115644946,0.004224416,2.969474546,9.980693253,2011.171816,4116.963655,13602.00147,13476.51875,0.996832412,0.735644447,0.498751184,0.948344677,78284.07921,157798.6378,15.81643823,16.41302315,133282.8825
41,0.130438923,0.524927175,0.094601314,0.006085049,3.006166,10.30355446,1779.244435,3751.854594,13692.67735,13932.91393,0.981395983,0.765469835,0.484209734,0.91207244,59833.86383,122384.3344,15.81956219,16.1895843,169045.2224
42,0.160806346,0.525877098,0.112792999,0.009810161,2.971988872,9.846688266,2309.884701,3513.540799,14529.12652,12072.45213,0.989875166,0.783849637,0.492891647,0.916196085,64441.26808,119796.9595,14.26403013,14.60569326,162018.3318
43,0.174020851,0.475819022,0.09721735,0.003705834,2.976190734,9.969301009,2138.63992,4067.789888,14733.76931,11727.66076,0.999389269,0.768604809,0.467763818,0.931050853,85758.11124,161811.0024,15.90249335,16.43865261,141847.5761
44,0.146810093,0.513318031,0.109891318,0.002012256,2.948194593,10.03579155,2153.961689,4045.97853,13539.65834,12868.16285,0.999217827,0.730559898,0.534765915,0.977653432,86829.81676,168334.9553,16.96134854,17.66381684,116026.7861
45,0.178027418,0.483953516,0.123317213,0.005435232,2.967742043,10.03768248,1800.914567,3769.088321,14682.45001,12106.92333,0.98985197,0.745380706,0.461987137,0.958537927,79068.70759,154539.4953,14.67691917,15.30955517,119295.7529
46,0.161845068,0.452158189,0.102669723,0.005649641,2.983551711,10.14557097,1852.876466,4253.260213,15216.08556,13260.40663,0.999782417,0.72511647,0.467722299,0.952807239,76091.84131,152944.5486,15.13037397,15.82922524,109970.0473
47,0.133036749,0.50233974,0.105520353,0.003669115,3.037250429,9.959329032,1766.307932,4068.04868,16594.15437,13943.9722,0.98387446,0.761041019,0.532172974,0.963331339,79717.06068,154999.9743,16.45576454,16.99144777,140536.2529
48,0.160084617,0.461404495,0.109898834,0.004947384,3.029250392,9.91985026,2016.625476,3993.733755,14027.62636,12121.86869,0.997968747,0.767921668,0.46492074,0.952533155,77804.14485,150523.3159,15.40097062,15.95297416,131736.7854
49,0.118901693,0.532373026,0.109099015,0.005061731,3.021948187,10.14353604,2014.925391,4074.03721,14235.18816,10589.78616,0.982323285,0.759286325,0.475391324,0.948623531,68365.95277,116300.2132,16.12320761,16.55898161,109997.9808
50,0.200534832,0.483410429,0.10148933,0.003919838,2.955067228,9.79414447,1969.464739,3882.769944,15767.90756,13929.14769,0.99710454,0.749502092,0.454217647,0.950105652,90924.06538,188585.3468,15.29618489,15.99688913,139375.8962
51,0.139726315,0.506911948,0.099372597,0.005543675,2.966045885,9.736314653,2059.247258,3756.151597,14645.18453,12786.55824,0.981628517,0.764971374,0.531772233,0.963665713,70573.20264,134715.4304,15.84167941,16.3747984,120315.031
